T_over_Tc, mu_over_kTc, z
3.203006012024048332e-01,-3.888486167539683975e-03,9.879332787864262277e-01
3.222645290581162558e-01,-3.920275509338272922e-03,9.879089166880818951e-01
3.242284569138276784e-01,-3.952218809848338961e-03,9.878843812200791552e-01
3.261923847695391010e-01,-3.984317535258173962e-03,9.878596710973032158e-01
3.281563126252505236e-01,-4.016573167860587254e-03,9.878347850174560296e-01
3.301202404809619462e-01,-4.048987206298821327e-03,9.878097216608426878e-01
3.320841683366733688e-01,-4.081561165816544566e-03,9.877844796901534830e-01
3.340480961923847913e-01,-4.114296578512307428e-03,9.877590577502407543e-01
3.360120240480962139e-01,-4.147194993597991958e-03,9.877334544678920691e-01
3.379759519038076365e-01,-4.180257977661996222e-03,9.877076684515977423e-01
3.399398797595190591e-01,-4.213487114936632395e-03,9.876816982913144694e-01
3.419038076152304817e-01,-4.246884007570353448e-03,9.876555425582234093e-01
3.438677354709419043e-01,-4.280450275904637558e-03,9.876291998044834930e-01
3.458316633266533269e-01,-4.314187558755466952e-03,9.876026685629802904e-01
3.477955911823647495e-01,-4.348097513700062075e-03,9.875759473470687722e-01
3.497595190380761720e-01,-4.382181817368479074e-03,9.875490346503112971e-01
3.517234468937875946e-01,-4.416442165740068829e-03,9.875219289462110472e-01
3.536873747494990172e-01,-4.450880274445732573e-03,9.874946286879384694e-01
3.556513026052104398e-01,-4.485497879074958408e-03,9.874671323080538299e-01
3.576152304609218624e-01,-4.520296735488696024e-03,9.874394382182231089e-01
3.595791583166332850e-01,-4.555278620137730508e-03,9.874115448089284541e-01
3.615430861723447076e-01,-4.590445330386578628e-03,9.873834504491733055e-01
3.635070140280561302e-01,-4.625798684843573753e-03,9.873551534861806367e-01
3.654709418837675527e-01,-4.661340523696568677e-03,9.873266522450860894e-01
3.674348697394789753e-01,-4.697072709054919866e-03,9.872979450286244463e-01
3.693987975951903979e-01,-4.732997125297665544e-03,9.872690301168098870e-01
3.713627254509018205e-01,-4.769115679428012969e-03,9.872399057666100264e-01
3.733266533066132431e-01,-4.805430301434543416e-03,9.872105702116128478e-01
3.752905811623246657e-01,-4.841942944658728966e-03,9.871810216616878630e-01
3.772545090180360883e-01,-4.878655586169417663e-03,9.871512583026400556e-01
3.792184368737475109e-01,-4.915570227144490031e-03,9.871212782958562748e-01
3.811823647294589334e-01,-4.952688893259267998e-03,9.870910797779455237e-01
3.831462925851703560e-01,-4.990013635082305929e-03,9.870606608603716969e-01
3.851102204408817786e-01,-5.027546528478813587e-03,9.870300196290784367e-01
3.870741482965932567e-01,-5.065289675021338034e-03,9.869991541441073268e-01
3.890380761523046793e-01,-5.103245202408599607e-03,9.869680624392074275e-01
3.910020040080161019e-01,-5.141415264891898221e-03,9.869367425214379264e-01
3.929659318637275245e-01,-5.179802043709943495e-03,9.869051923707620189e-01
3.949298597194389471e-01,-5.218407747531786899e-03,9.868734099396331283e-01
3.968937875751503697e-01,-5.257234612908424920e-03,9.868413931525723548e-01
3.988577154308617922e-01,-5.296284904733147836e-03,9.868091399057372648e-01
4.008216432865732148e-01,-5.335560916710491847e-03,9.867766480664826867e-01
4.027855711422846374e-01,-5.375064971834504941e-03,9.867439154729120698e-01
4.047494989979960600e-01,-5.414799422876448790e-03,9.867109399334194064e-01
4.067134268537074826e-01,-5.454766652881878550e-03,9.866777192262222718e-01
4.086773547094189052e-01,-5.494969075677321770e-03,9.866442510988856496e-01
4.106412825651303278e-01,-5.535409136387433281e-03,9.866105332678348772e-01
4.126052104208417504e-01,-5.576089311961770004e-03,9.865765634178600418e-01
4.145691382765531730e-01,-5.617012111712501449e-03,9.865423392016090531e-01
4.165330661322645955e-01,-5.658180077862460904e-03,9.865078582390711670e-01
4.184969939879760181e-01,-5.699595786104536509e-03,9.864731181170489638e-01
4.204609218436874407e-01,-5.741261846172076092e-03,9.864381163886198900e-01
4.224248496993988633e-01,-5.783180902420482702e-03,9.864028505725873641e-01
4.243887775551102859e-01,-5.825355634421337456e-03,9.863673181529186706e-01
4.263527054108217085e-01,-5.867788757567606386e-03,9.863315165781734173e-01
4.283166332665331311e-01,-5.910483023692110136e-03,9.862954432609178923e-01
4.302805611222445537e-01,-5.953441221697845266e-03,9.862590955771289858e-01
4.322444889779559762e-01,-5.996666178201793054e-03,9.862224708655843441e-01
4.342084168336673988e-01,-6.040160758191706614e-03,9.861855664272403121e-01
4.361723446893788214e-01,-6.083927865696337790e-03,9.861483795245971073e-01
4.381362725450902440e-01,-6.127970444470133386e-03,9.861109073810492287e-01
4.401002004008016666e-01,-6.172291478691375489e-03,9.860731471802239856e-01
4.420641282565130892e-01,-6.216893993675602116e-03,9.860350960653043728e-01
4.440280561122245118e-01,-6.261781056603602132e-03,9.859967511383384009e-01
4.459919839679359344e-01,-6.306955777264885640e-03,9.859581094595333273e-01
4.479559118236473569e-01,-6.352421308816696630e-03,9.859191680465351215e-01
4.499198396793587795e-01,-6.398180848559449109e-03,9.858799238736917214e-01
4.518837675350702021e-01,-6.444237638728165206e-03,9.858403738713015230e-01
